date,event_id,teams,market_key,player_name,player_id,sportsbook,odds_raw,odds_decimal,implied_prob,b,mu_raw_from_source,mu_after_all_multipliers,mu_after_rounding_or_bucketing,rounding_function_line,mult_opp_sog,mult_opp_g,mult_goalie,mult_itt,mult_b2b,source_columns,source_prob_column,ProbSource,input_file,missing_fields,fallback_value,fallback_reason,mu_quantized_flag,distribution_name,threshold_definition,p_model_computed,p_model_used_in_ev,p_model_diff,mu_1d_flag,ev_roi,ev_percent,kelly_full,kelly_1_10,kelly_1_4
2026-01-06,anaheim-ducks-at-washington-capitals,anaheim-ducks-at-washington-capitals,Player 1+ Goals,Chris Kreider,,PlayNow,3.15,3.15,0.31746031746031744,2.15,0.024702203088692556,0.0248,0.0248,"2_Projections/single_game_probs.py:round(..., 4)",0.999,1.009,0.996,1.0,1.0,"['mu_adj_G', 'p_G_1plus']",p_G_1plus,Raw,2_Projections\SingleGamePropProbabilities.csv,[],1.0,None,True,Poisson,P(X >= 1),0.02449500648176295,0.0245,4.993518237052241e-06,False,-0.922825,-92.2825,-0.42922093023255814,-0.042922093023255815,-0.10730523255813953
2026-01-06,anaheim-ducks-at-washington-capitals,anaheim-ducks-at-washington-capitals,Player 1+ Goals,Pavel Mintyukov,,PlayNow,12.0,12.0,0.08333333333333333,11.0,0.012649918517193366,0.0127,0.0127,"2_Projections/single_game_probs.py:round(..., 4)",0.999,1.009,0.996,1.0,1.0,"['mu_adj_G', 'p_G_1plus']",p_G_1plus,Raw,2_Projections\SingleGamePropProbabilities.csv,[],1.0,None,True,Poisson,P(X >= 1),0.012619695315978063,0.0126,-1.9695315978063288e-05,False,-0.8488,-84.88,-0.07716363636363636,-0.007716363636363637,-0.01929090909090909
2026-01-06,anaheim-ducks-at-washington-capitals,anaheim-ducks-at-washington-capitals,Player 1+ Goals,Olen Zellweger,,PlayNow,13.0,13.0,0.07692307692307693,12.0,0.010159777076800972,0.0102,0.0102,"2_Projections/single_game_probs.py:round(..., 4)",0.999,1.009,0.996,1.0,1.0,"['mu_adj_G', 'p_G_1plus']",p_G_1plus,Raw,2_Projections\SingleGamePropProbabilities.csv,[],1.0,None,True,Poisson,P(X >= 1),0.010148156417905119,0.0102,5.1843582094882046e-05,False,-0.8674,-86.74,-0.07228333333333332,-0.007228333333333333,-0.01807083333333333
2026-01-06,anaheim-ducks-at-washington-capitals,anaheim-ducks-at-washington-capitals,Player 1+ Goals,Mason McTavish,,PlayNow,3.25,3.25,0.3076923076923077,2.25,0.04472294026944741,0.0449,0.0449,"2_Projections/single_game_probs.py:round(..., 4)",0.999,1.009,0.996,1.0,1.0,"['mu_adj_G', 'p_G_1plus']",p_G_1plus,Raw,2_Projections\SingleGamePropProbabilities.csv,[],1.0,None,True,Poisson,P(X >= 1),0.04390691363857002,0.0439,-6.9136385700205305e-06,False,-0.857325,-85.7325,-0.38103333333333333,-0.038103333333333336,-0.09525833333333333
2026-01-06,anaheim-ducks-at-washington-capitals,anaheim-ducks-at-washington-capitals,Player 1+ Goals,Martin Fehrvry,,PlayNow,12.0,12.0,0.08333333333333333,11.0,0.013634141877785456,0.0141,0.0141,"2_Projections/single_game_probs.py:round(..., 4)",0.978,1.009,1.048,1.0,1.0,"['mu_adj_G', 'p_G_1plus']",p_G_1plus,Raw,2_Projections\SingleGamePropProbabilities.csv,[],1.0,None,True,Poisson,P(X >= 1),0.014001060561241063,0.014,-1.060561241062949e-06,False,-0.832,-83.2,-0.07563636363636363,-0.007563636363636363,-0.018909090909090907
2026-01-06,anaheim-ducks-at-washington-capitals,anaheim-ducks-at-washington-capitals,Player 1+ Goals,John Carlson,,PlayNow,5.0,5.0,0.2,4.0,0.009862996252015012,0.0102,0.0102,"2_Projections/single_game_probs.py:round(..., 4)",0.978,1.009,1.048,1.0,1.0,"['mu_adj_G', 'p_G_1plus']",p_G_1plus,Raw,2_Projections\SingleGamePropProbabilities.csv,[],1.0,None,True,Poisson,P(X >= 1),0.010148156417905119,0.0101,-4.8156417905119084e-05,False,-0.9495,-94.95,-0.237375,-0.0237375,-0.05934375
2026-01-06,anaheim-ducks-at-washington-capitals,anaheim-ducks-at-washington-capitals,Player 1+ Goals,Nic Dowd,,PlayNow,8.0,8.0,0.125,7.0,0.009862996252015012,0.0102,0.0102,"2_Projections/single_game_probs.py:round(..., 4)",0.978,1.009,1.048,1.0,1.0,"['mu_adj_G', 'p_G_1plus']",p_G_1plus,Raw,2_Projections\SingleGamePropProbabilities.csv,[],1.0,None,True,Poisson,P(X >= 1),0.010148156417905119,0.0101,-4.8156417905119084e-05,False,-0.9192,-91.92,-0.13131428571428572,-0.013131428571428572,-0.03282857142857143
2026-01-06,anaheim-ducks-at-washington-capitals,anaheim-ducks-at-washington-capitals,Player 1+ Goals,Connor McMichael,,PlayNow,3.4,3.4,0.29411764705882354,2.4,0.024657490630037526,0.0255,0.0255,"2_Projections/single_game_probs.py:round(..., 4)",0.978,1.009,1.048,1.0,1.0,"['mu_adj_G', 'p_G_1plus']",p_G_1plus,Raw,2_Projections\SingleGamePropProbabilities.csv,[],1.0,None,True,Poisson,P(X >= 1),0.025177621034258912,0.0251,-7.762103425891162e-05,False,-0.91466,-91.46600000000001,-0.3811083333333334,-0.038110833333333344,-0.09527708333333335
2026-01-06,anaheim-ducks-at-washington-capitals,anaheim-ducks-at-washington-capitals,Player 1+ Goals,Sonny Milano,,PlayNow,4.75,4.75,0.21052631578947367,3.75,0.012570485419234816,0.013,0.013,"2_Projections/single_game_probs.py:round(..., 4)",0.978,1.009,1.048,1.0,1.0,"['mu_adj_G', 'p_G_1plus']",p_G_1plus,Raw,2_Projections\SingleGamePropProbabilities.csv,[],1.0,None,True,Poisson,P(X >= 1),0.012915864979712421,0.0129,-1.5864979712421415e-05,False,-0.938725,-93.8725,-0.2503266666666667,-0.025032666666666672,-0.06258166666666667
2026-01-06,anaheim-ducks-at-washington-capitals,anaheim-ducks-at-washington-capitals,Player 1+ Goals,Jakob Chychrun,,PlayNow,3.15,3.15,0.31746031746031744,2.15,0.03307004625675621,0.0342,0.0342,"2_Projections/single_game_probs.py:round(..., 4)",0.978,1.009,1.048,1.0,1.0,"['mu_adj_G', 'p_G_1plus']",p_G_1plus,Raw,2_Projections\SingleGamePropProbabilities.csv,[],1.0,None,True,Poisson,P(X >= 1),0.0336217903332795,0.0336,-2.1790333279501917e-05,False,-0.8941600000000001,-89.41600000000001,-0.4158883720930233,-0.041588837209302336,-0.10397209302325583
